Subject,Condition,Time,FAA
VPEEG_PB_10_20220419_1154_csd,FrTT,-1000 to 0,0.015814099
VPEEG_PB_10_20220419_1154_csd,FrTT,0 to 1000,0.025709498
VPEEG_PB_10_20220419_1154_csd,EnTT,-1000 to 0,0.005574083
VPEEG_PB_10_20220419_1154_csd,EnTT,0 to 1000,0.020131267
VPEEG_PB_11_20220513_0917_csd,FrTT,-1000 to 0,0.025060683
VPEEG_PB_11_20220513_0917_csd,FrTT,0 to 1000,0.034940129
VPEEG_PB_11_20220513_0917_csd,EnTT,-1000 to 0,0.037043985
VPEEG_PB_11_20220513_0917_csd,EnTT,0 to 1000,0.019238154
VPEEG_PB_12_20220517_0916_csd,FrTT,-1000 to 0,-0.009087159
VPEEG_PB_12_20220517_0916_csd,FrTT,0 to 1000,-0.023133403
VPEEG_PB_12_20220517_0916_csd,EnTT,-1000 to 0,-0.012607224
VPEEG_PB_12_20220517_0916_csd,EnTT,0 to 1000,-0.012313865
VPEEG_PB_13_20220517_1122_csd,FrTT,-1000 to 0,-0.033785182
VPEEG_PB_13_20220517_1122_csd,FrTT,0 to 1000,-0.028412967
VPEEG_PB_13_20220517_1122_csd,EnTT,-1000 to 0,-0.024349337
VPEEG_PB_13_20220517_1122_csd,EnTT,0 to 1000,-0.018925968
VPEEG_PB_14_20220525_0936_csd,FrTT,-1000 to 0,-0.028802566
VPEEG_PB_14_20220525_0936_csd,FrTT,0 to 1000,-0.030801683
VPEEG_PB_14_20220525_0936_csd,EnTT,-1000 to 0,-0.021784794
VPEEG_PB_14_20220525_0936_csd,EnTT,0 to 1000,-0.02057919
VPEEG_PB_15_20220525_1128_csd,FrTT,-1000 to 0,0.032937104
VPEEG_PB_15_20220525_1128_csd,FrTT,0 to 1000,0.017151402
VPEEG_PB_15_20220525_1128_csd,EnTT,-1000 to 0,0.021210363
VPEEG_PB_15_20220525_1128_csd,EnTT,0 to 1000,0.035080224
VPEEG_SB_100_20240526_1231_csd,FrTT,-1000 to 0,0.000428071
VPEEG_SB_100_20240526_1231_csd,FrTT,0 to 1000,-0.010226779
VPEEG_SB_100_20240526_1231_csd,EnTT,-1000 to 0,-0.003925845
VPEEG_SB_100_20240526_1231_csd,EnTT,0 to 1000,-0.011115122
VPEEG_SB_101_20240527_1012_csd,FrTT,-1000 to 0,0.016755772
VPEEG_SB_101_20240527_1012_csd,FrTT,0 to 1000,0.022036707
VPEEG_SB_101_20240527_1012_csd,EnTT,-1000 to 0,0.042782447
VPEEG_SB_101_20240527_1012_csd,EnTT,0 to 1000,0.030053994
VPEEG_SB_102_20240527_1512_csd,FrTT,-1000 to 0,0.029749897
VPEEG_SB_102_20240527_1512_csd,FrTT,0 to 1000,0.001012702
VPEEG_SB_102_20240527_1512_csd,EnTT,-1000 to 0,0.014201641
VPEEG_SB_102_20240527_1512_csd,EnTT,0 to 1000,0.019229497
VPEEG_SB_103_20240603_0941_csd,FrTT,-1000 to 0,-0.036183466
VPEEG_SB_103_20240603_0941_csd,FrTT,0 to 1000,0.012018647
VPEEG_SB_103_20240603_0941_csd,EnTT,-1000 to 0,0.002195649
VPEEG_SB_103_20240603_0941_csd,EnTT,0 to 1000,0.023889149
VPEEG_SB_104_20240605_1330_csd,FrTT,-1000 to 0,0.01987546
VPEEG_SB_104_20240605_1330_csd,FrTT,0 to 1000,0.017567964
VPEEG_SB_104_20240605_1330_csd,EnTT,-1000 to 0,0.031432869
VPEEG_SB_104_20240605_1330_csd,EnTT,0 to 1000,0.025285082
VPEEG_SB_105_20240609_1004_csd,FrTT,-1000 to 0,-0.02563015
VPEEG_SB_105_20240609_1004_csd,FrTT,0 to 1000,-0.005148549
VPEEG_SB_105_20240609_1004_csd,EnTT,-1000 to 0,-0.012523885
VPEEG_SB_105_20240609_1004_csd,EnTT,0 to 1000,-0.012596866
VPEEG_SB_106_20240609_1423_csd,FrTT,-1000 to 0,-0.054756959
VPEEG_SB_106_20240609_1423_csd,FrTT,0 to 1000,-0.053083316
VPEEG_SB_106_20240609_1423_csd,EnTT,-1000 to 0,-0.039106357
VPEEG_SB_106_20240609_1423_csd,EnTT,0 to 1000,-0.031964782
VPEEG_SB_107_20240618_1211_csd,FrTT,-1000 to 0,-2.11E-05
VPEEG_SB_107_20240618_1211_csd,FrTT,0 to 1000,0.017044311
VPEEG_SB_107_20240618_1211_csd,EnTT,-1000 to 0,-0.009565341
VPEEG_SB_107_20240618_1211_csd,EnTT,0 to 1000,-0.022027184
VPEEG_SB_108_20240626_1052_csd,FrTT,-1000 to 0,-0.019732907
VPEEG_SB_108_20240626_1052_csd,FrTT,0 to 1000,-0.039001091
VPEEG_SB_108_20240626_1052_csd,EnTT,-1000 to 0,-0.041717485
VPEEG_SB_108_20240626_1052_csd,EnTT,0 to 1000,-0.027741384
VPEEG_SB_109_20240626_1242_csd,FrTT,-1000 to 0,0.010931784
VPEEG_SB_109_20240626_1242_csd,FrTT,0 to 1000,0.011958666
VPEEG_SB_109_20240626_1242_csd,EnTT,-1000 to 0,0.037641851
VPEEG_SB_109_20240626_1242_csd,EnTT,0 to 1000,0.038286485
VPEEG_SB_110_20240626_1424_csd,FrTT,-1000 to 0,0.009415991
VPEEG_SB_110_20240626_1424_csd,FrTT,0 to 1000,-0.007544811
VPEEG_SB_110_20240626_1424_csd,EnTT,-1000 to 0,0.008038922
VPEEG_SB_110_20240626_1424_csd,EnTT,0 to 1000,0.013866884
VPEEG_SB_112_20240627_1338_csd,FrTT,-1000 to 0,0.005301682
VPEEG_SB_112_20240627_1338_csd,FrTT,0 to 1000,0.006842912
VPEEG_SB_112_20240627_1338_csd,EnTT,-1000 to 0,0.006553684
VPEEG_SB_112_20240627_1338_csd,EnTT,0 to 1000,0.001942507
VPEEG_SB_113_20240628_1426_csd,FrTT,-1000 to 0,-0.010189266
VPEEG_SB_113_20240628_1426_csd,FrTT,0 to 1000,-0.03051874
VPEEG_SB_113_20240628_1426_csd,EnTT,-1000 to 0,-0.013394508
VPEEG_SB_113_20240628_1426_csd,EnTT,0 to 1000,-0.036020349
VPEEG_SB_114_20240630_1207_csd,FrTT,-1000 to 0,0.012261113
VPEEG_SB_114_20240630_1207_csd,FrTT,0 to 1000,0.008228732
VPEEG_SB_114_20240630_1207_csd,EnTT,-1000 to 0,0.008727875
VPEEG_SB_114_20240630_1207_csd,EnTT,0 to 1000,-0.001462318
VPEEG_SB_115_20240701_1130_csd,FrTT,-1000 to 0,0.012791691
VPEEG_SB_115_20240701_1130_csd,FrTT,0 to 1000,0.013886707
VPEEG_SB_115_20240701_1130_csd,EnTT,-1000 to 0,0.009821201
VPEEG_SB_115_20240701_1130_csd,EnTT,0 to 1000,0.002291227
VPEEG_SB_116_20240702_1207_csd,FrTT,-1000 to 0,-0.016339808
VPEEG_SB_116_20240702_1207_csd,FrTT,0 to 1000,0.003306117
VPEEG_SB_116_20240702_1207_csd,EnTT,-1000 to 0,-0.015761275
VPEEG_SB_116_20240702_1207_csd,EnTT,0 to 1000,-0.01295938
VPEEG_SB_117_20240713_1346_csd,FrTT,-1000 to 0,-0.009632503
VPEEG_SB_117_20240713_1346_csd,FrTT,0 to 1000,-0.03436517
VPEEG_SB_117_20240713_1346_csd,EnTT,-1000 to 0,-0.020974315
VPEEG_SB_117_20240713_1346_csd,EnTT,0 to 1000,-0.031565691
VPEEG_SB_118_20240713_1427_csd,FrTT,-1000 to 0,-0.003460691
VPEEG_SB_118_20240713_1427_csd,FrTT,0 to 1000,0.005874406
VPEEG_SB_118_20240713_1427_csd,EnTT,-1000 to 0,-0.000286272
VPEEG_SB_118_20240713_1427_csd,EnTT,0 to 1000,-0.008426563
VPEEG_SB_119_20240717_1113_csd,FrTT,-1000 to 0,0.004670082
VPEEG_SB_119_20240717_1113_csd,FrTT,0 to 1000,0.023643662
VPEEG_SB_119_20240717_1113_csd,EnTT,-1000 to 0,0.010187722
VPEEG_SB_119_20240717_1113_csd,EnTT,0 to 1000,0.002202435
VPEEG_SB_120_20240717_1256_csd,FrTT,-1000 to 0,-0.002606423
VPEEG_SB_120_20240717_1256_csd,FrTT,0 to 1000,-0.021207596
VPEEG_SB_120_20240717_1256_csd,EnTT,-1000 to 0,0.00220191
VPEEG_SB_120_20240717_1256_csd,EnTT,0 to 1000,-0.003073441
VPEEG_SB_121_20240718_1042_csd,FrTT,-1000 to 0,0.001815194
VPEEG_SB_121_20240718_1042_csd,FrTT,0 to 1000,0.00786199
VPEEG_SB_121_20240718_1042_csd,EnTT,-1000 to 0,0.007725462
VPEEG_SB_121_20240718_1042_csd,EnTT,0 to 1000,-0.001988145
VPEEG_SB_122_20240719_1347_csd,FrTT,-1000 to 0,0.001487458
VPEEG_SB_122_20240719_1347_csd,FrTT,0 to 1000,0.008502068
VPEEG_SB_122_20240719_1347_csd,EnTT,-1000 to 0,-0.011386185
VPEEG_SB_122_20240719_1347_csd,EnTT,0 to 1000,-0.002451576
VPEEG_SB_123_20240720_1225_csd,FrTT,-1000 to 0,-0.00344593
VPEEG_SB_123_20240720_1225_csd,FrTT,0 to 1000,-0.002284902
VPEEG_SB_123_20240720_1225_csd,EnTT,-1000 to 0,-0.028846683
VPEEG_SB_123_20240720_1225_csd,EnTT,0 to 1000,-0.016013333
VPEEG_SB_18_20220629_1110_csd,FrTT,-1000 to 0,0.013176787
VPEEG_SB_18_20220629_1110_csd,FrTT,0 to 1000,0.015701762
VPEEG_SB_18_20220629_1110_csd,EnTT,-1000 to 0,0.012080635
VPEEG_SB_18_20220629_1110_csd,EnTT,0 to 1000,0.015898079
VPEEG_SB_19_20220701_0909_csd,FrTT,-1000 to 0,0.018975738
VPEEG_SB_19_20220701_0909_csd,FrTT,0 to 1000,0.005198708
VPEEG_SB_19_20220701_0909_csd,EnTT,-1000 to 0,0.046023265
VPEEG_SB_19_20220701_0909_csd,EnTT,0 to 1000,0.054076251
VPEEG_SB_20_20220804_1114_csd,FrTT,-1000 to 0,-0.024813317
