mean_score_subj_IBQ,Participant
2.363636364,PB_02
4.357142857,PB_03
2.214285714,PB_05
2.875,PB_11
4.8125,PB_13
3.8125,PB_15
5.125,PB_17
NA,SB_39
4.8125,SB_100
4.4375,SB_101
4.1875,SB_102
3.857142857,SB_103
3.928571429,SB_104
4.0625,SB_105
3.555555556,SB_106
5,SB_107
3.9375,SB_108
3.538461538,SB_109
3.4375,SB_110
4.5,SB_111
3.214285714,SB_112
2.538461538,SB_113
4.133333333,SB_114
3.357142857,SB_115
3,SB_116
4.571428571,SB_117
3.0625,SB_118
2.75,SB_119
3.076923077,SB_120
2.375,SB_121
2.714285714,SB_122
4.25,SB_18
4.923076923,SB_19
3.875,SB_20
2.1875,SB_21
NA,SB_22
4.0625,SB_23
2.714285714,SB_24
3.727272727,SB_26
4.9375,SB_27
5.071428571,SB_28
4.8125,SB_29
3.5,SB_30
3.75,SB_31
4.375,SB_32
4.076923077,SB_34
3.3125,SB_35
4.875,SB_36
5.125,SB_37
3.4375,SB_38
1.692307692,SB_40
3.5,SB_41
2.6875,SB_42
5,SB_43
3.285714286,SB_44
6.5,SB_45
3.125,SB_46
4.1875,SB_47
3.375,SB_48
4.6875,SB_49
4.8125,SB_50
2.357142857,SB_51
2.8125,SB_52
2.375,SB_53
3.5625,SB_54
1.769230769,SB_55
3.571428571,SB_56
1,SB_57
1.75,SB_58
5.125,SB_59
2.615384615,SB_60
5.375,SB_61
5.642857143,SB_62
2.3,SB_63
3.5,SB_65
3.375,SB_66
4.5625,SB_69
4.3125,SB_70
3.75,SB_71
3.875,SB_72
4.5625,SB_73
4.1875,SB_74
3.6875,SB_75
4.0625,SB_76
4.875,SB_77
3.916666667,SB_79
4.4375,SB_80
4.5,SB_81
3.142857143,SB_82
3.454545455,SB_84
3.846153846,SB_85
5.125,SB_86
4.1875,SB_88
5.125,SB_90
3.6875,SB_91
5,SB_93
4.6875,SB_94
3.357142857,SB_95
3.25,SB_97
4.142857143,SB_98
4.333333333,SB_99
4.1875,SB_33
5.5,SB_64
